filename,xmin,ymin,xmax,ymax
9-2.jpg,7,195,1195,524
4-1.jpg,1,1,637,225
2-1.jpg,0,163,679,324
8-2.jpg,559,316,1595,942
6-3.jpg,2,207,1079,481
9-1.jpg,0,0,638,149
3-2.jpg,0,0,1056,224
8-3.jpg,20,0,603,712
6-2.jpg,0,0,356,541
5-2.jpg,6,4,1019,375
2-2.JPG,2,2,696,715
1-2.JPG,-1,4,2260,1549
7-1.jpg,507,3,590,265
9-3.jpg,9,10,271,285
7-2.jpg,199,2,446,379
1-1.jpg,7,7,208,380
8-1.jpg,420,1,640,282
1-3.jpg,2531,16,4047,2080
10-1.jpg,2555,27,3932,1388
3-3.jpg,765,4,1201,382
3-1.jpg,0,0,298,363
10-2.jpg,14,18,807,705
5-1.jpg,0,0,379,466
4-2.JPG,6,5,225,242
2-3.jpg,10,2,513,513
5-3.jpg,0,0,209,264
6-1.jpg,321,11,498,234
7-3.jpg,2067,33,4272,2023
4-3.jpg,0,0,206,244
10-3.jpg,12,10,334,424
